"Timestamp","User_ID","Application_Type","Signal_Strength","Latency","Required_Bandwidth","Allocated_Bandwidth","Resource_Allocation","Hour","DayOfWeek","IsWeekend"
NA,"User_1","Video_Call",-75,30,10,15,70,NA,NA,0
NA,"User_2","Voice_Call",-80,20,100,120,80,NA,NA,0
NA,"User_3","Streaming",-85,40,5,6,75,NA,NA,0
NA,"User_4","Emergency_Service",-70,10,1,1.5,90,NA,NA,0
NA,"User_5","Online_Gaming",-78,25,2,3,85,NA,NA,0
NA,"User_6","Background_Download",-90,50,500,550,70,NA,NA,0
NA,"User_7","Web_Browsing",-88,30,1,1,60,NA,NA,0
NA,"User_8","IoT_Temperature",-95,100,10,15,50,NA,NA,0
NA,"User_9","Video_Streaming",-82,35,3,3.5,80,NA,NA,0
NA,"User_10","File_Download",-75,45,2,2,70,NA,NA,0
NA,"User_11","Video_Call",-76,32,12,14,70,NA,NA,0
NA,"User_12","Online_Gaming",-79,24,2.5,2.8,75,NA,NA,0
NA,"User_13","Web_Browsing",-87,28,1.2,1.2,65,NA,NA,0
NA,"User_14","VoIP_Call",-81,22,150,170,85,NA,NA,0
NA,"User_15","Video_Call",-74,29,10,12,60,NA,NA,0
NA,"User_16","Streaming",-84,38,4.5,5,70,NA,NA,0
NA,"User_17","Emergency_Service",-69,9,1.2,1.3,80,NA,NA,0
NA,"User_18","Background_Download",-91,48,600,600,55,NA,NA,0
NA,"User_19","IoT_Temperature",-96,105,8,9,70,NA,NA,0
NA,"User_20","Video_Streaming",-83,34,3.2,3.5,75,NA,NA,0
NA,"User_21","Video_Call",-77,31,11,13,75,NA,NA,0
NA,"User_22","Online_Gaming",-80,23,2.2,2.5,80,NA,NA,0
NA,"User_23","Web_Browsing",-86,29,1.4,1.4,70,NA,NA,0
NA,"User_24","VoIP_Call",-82,21,160,180,90,NA,NA,0
NA,"User_25","Video_Call",-73,28,10.5,12.5,75,NA,NA,0
NA,"User_26","Streaming",-83,37,4.2,4.8,85,NA,NA,0
NA,"User_27","Emergency_Service",-68,8,1.1,1.2,70,NA,NA,0
NA,"User_28","Background_Download",-92,47,620,620,60,NA,NA,0
NA,"User_29","IoT_Temperature",-97,110,7,8,65,NA,NA,0
NA,"User_30","Video_Streaming",-84,33,3.4,3.7,70,NA,NA,0
NA,"User_31","Video_Call",-78,30,10.2,12.2,75,NA,NA,0
NA,"User_32","Online_Gaming",-79,24,2.3,2.6,80,NA,NA,0
NA,"User_33","Web_Browsing",-88,27,1.3,1.3,70,NA,NA,0
NA,"User_34","VoIP_Call",-83,20,170,190,90,NA,NA,0
NA,"User_35","Video_Call",-72,27,10.8,12.8,75,NA,NA,0
NA,"User_36","Streaming",-82,36,4,4.6,85,NA,NA,0
NA,"User_37","Emergency_Service",-67,7,1,1.1,70,NA,NA,0
NA,"User_38","Background_Download",-93,46,630,630,60,NA,NA,0
NA,"User_39","IoT_Temperature",-98,105,6,7,65,NA,NA,0
NA,"User_40","Video_Streaming",-85,32,3.5,3.8,70,NA,NA,0
NA,"User_41","Video_Call",-79,29,10.5,12.3,70,NA,NA,0
NA,"User_42","Online_Gaming",-78,25,2.4,2.7,75,NA,NA,0
NA,"User_43","Web_Browsing",-87,28,1.2,1.2,70,NA,NA,0
NA,"User_44","VoIP_Call",-84,20,165,185,90,NA,NA,0
NA,"User_45","Video_Call",-71,26,10.2,12.6,80,NA,NA,0
NA,"User_46","Streaming",-81,35,3.8,4.4,85,NA,NA,0
NA,"User_47","Emergency_Service",-66,7,1.1,1.2,70,NA,NA,0
NA,"User_48","Background_Download",-94,45,640,640,60,NA,NA,0
NA,"User_49","IoT_Temperature",-99,104,5,6,65,NA,NA,0
NA,"User_50","Video_Streaming",-86,31,3.6,3.9,70,NA,NA,0
NA,"User_51","Video_Call",-80,30,11,12.5,80,NA,NA,0
NA,"User_52","Online_Gaming",-77,24,2.6,2.9,85,NA,NA,0
NA,"User_53","Web_Browsing",-89,27,1.1,1.1,70,NA,NA,0
NA,"User_54","VoIP_Call",-85,21,160,190,90,NA,NA,0
NA,"User_55","Video_Call",-70,27,10.7,12.3,75,NA,NA,0
NA,"User_56","Streaming",-80,35,4.1,4.7,85,NA,NA,0
NA,"User_57","Emergency_Service",-65,8,1,1.1,70,NA,NA,0
NA,"User_58","Background_Download",-95,46,650,650,60,NA,NA,0
NA,"User_59","IoT_Temperature",-100,103,4,5,75,NA,NA,0
NA,"User_60","Video_Streaming",-87,32,3.7,4,70,NA,NA,0
NA,"User_61","Video_Call",-81,29,10.3,12.1,70,NA,NA,0
NA,"User_62","Online_Gaming",-76,23,2.7,3,80,NA,NA,0
NA,"User_63","Web_Browsing",-90,26,1,1,70,NA,NA,0
NA,"User_64","VoIP_Call",-86,20,155,180,90,NA,NA,0
NA,"User_65","Video_Call",-69,26,10.9,12.4,75,NA,NA,0
NA,"User_66","Streaming",-79,34,4.3,4.9,85,NA,NA,0
NA,"User_67","Emergency_Service",-64,7,1,1.1,70,NA,NA,0
NA,"User_68","Background_Download",-96,45,660,660,60,NA,NA,0
NA,"User_69","IoT_Temperature",-100,102,3,4,75,NA,NA,0
NA,"User_70","Video_Streaming",-88,31,3.8,4.1,70,NA,NA,0
